year,value
2021,3350.991434
2022,3411.141546
2023,3461.761949
2024,3536.294177
2025,3630.982379
2026,3839.123854
2027,3944.80278
2028,4065.583411
2029,4197.443363
2030,4348.832082
2031,4950.15587
2032,5181.778651
2033,5309.285546
2034,5424.645256
2035,5526.191541
2036,5626.130483
2037,5743.60113
2038,5845.828715
2039,5950.159105
2040,6056.65898
2041,6062.850348
2042,6067.150348
2043,6071.450348
2044,6075.750348
2045,6080.050348
2046,6084.350348
2047,6088.650348
2048,6092.950348
2049,6097.250348
2050,6101.550348
